sentence,labels,topic
"thầy cho ví dụ liên quan đến bài học hơn , hình thức làm nộp bài tập hàng tuần .",0,0
"phòng thực hành khoa wzjwz70 máy hư tùm lum , hiểu sao phòng thực hành mấy khoa khác wzjwz71 , wzjwz72 đầu tư mới tốt hơn .",0,2
"thầy đi dạy đúng giờ , giảng dạy nhiệt tình .",2,0
tên thầy dài quá em nhớ nó một món quà dành cho thầy .,1,3
"luôn quan tâm sinh viên , dạý kiến thức hay , dễ hiểu .",2,0
"thầy giảng dạy nhiệt tình , tận tụy , tận tình hướng dẫn .",2,0
mong môn thực hành cách tuần chuyển thành hàng tuần .,0,1
giải đáp thắc mắc cho bạn sinh viên .,2,0
chúc thầy tràn đầy sức khỏe giảng dạy thật tốt kỳ tiếp !,2,0
"môn học mang tính ứng dụng thực tế , kiến thức quá chung chung .",0,1
"một số vấn đề sinh viên thắc mắc đăng course thường giảng viên trả lời chậm , thường trả lời luôn .",0,0
phương pháp giảng dạy giúp sinh viên nắm bắt lỗi sai bài .,2,0
bài học liên quan tới thực tế .,2,0
giảng viên thường xuyên đưa bài tập bảng giảng tạo cuộc thảo luận .,2,0
"cô dễ thương , cho điểm khách quan , cô giúp em nhớ kiến thức .",2,0
"slide môn học một số phần dịch tiếng anh khó hiểu , rõ ràng .",0,1
thầy cho bài tập về nhà hàng tuần .,1,0
cho nhìn về môi trường bên ngoài doanh nghiệp .,2,1
"cách dạy cách nói thầy thu hút , giúp em tập trung bài học dễ .",2,0
mong thầy thời gian giảng dạy thể cải thiện phương pháp truyền đạt môn học thú vị hơn .,0,0
em gửi một message trang web môn học cho một thầy chờ mãi chưa nhận câu trả lời .,0,0
giảng viên giảng hơn chứ sinh viên làm bài tập .,0,0
thầy giảng đúng trọng tâm đề dễ hiểu .,2,0
cô sử dụng hệ thống course trường .,0,0
đi học hay đi học cũng nhau .,0,0
"thầy giảng bài dễ hiểu , nhiệt tình .",2,0
cho bài tập đầy đủ .,2,0
"thầy dạy tốt , hay .",2,0
"cô cho bài tập về nhà , deadline cuối chương , bài tập chương giúp tụi em nắm vững kiến thức môn học này .",2,0
"chép bài bảng nhanh , giảng hơi nhanh .",0,3
thích cách xét công tâm cô .,2,0
"cô dạy khó hiểu , phức tạp hóa vấn đề .",0,0
cách cô sắp xếp sinh viên thi giữa kỳ lộn xộn .,0,0
nội dung môn học bỏ .,0,0
"thầy dạy nhiệt tình dễ hiểu , cho làm bài tập hay thú vị .",2,0
"thầy vui tính , tận tâm một vốn kiến thức phong phú .",2,0
"thầy dạy tương đối ổn , tính thực tế .",2,0
"ít sử dụng hệ thống moodle môn học , slide bài giảng bài nộp khó khăn nộp dở sinh viên ít sử dụng hệ thống dropbox .",0,1
cung cấp đầy đủ cập nhật giáo trình tài liệu phục vụ môn học hơn .,0,1
"thầy vui tính , nói cũng .",2,0
"thầy vui tính , dạy dễ hiểu .",2,0
cô quan tâm tới sinh viên .,2,0
"thầy dạy nhiệt tình lố giờ quá , môn học bốn tiết nào cũng gần năm tiết .",0,0
gây khó khăn cho làm bài thi .,0,0
giảng viên thụ động .,0,0
"yêu nghề , hăng say , tích cực công , nhiệt tình giảng dạy .",2,0
giảng dạy nhiệt tình kỹ lưỡng .,2,0
toàn đi học ké lớp khác .,0,3
truyền đạt hay giúp học sinh dễ hiểu !,2,0
phương pháp giảng bài thầy khiến sinh viên dễ dàng tiếp thu kiến thức .,2,0
đôi một số thầy nói sinh viên tự tìm hiểu giải thích thêm .,0,0
"cách dạy còn khô khan , nhàm chán , tạo cho sinh viên hào hứng .",0,0
khuyến khích phát biểu giờ học đưa bài tập khó cộng điểm tạo hứng thú cho học sinh .,0,0
bài thi sát hơn thêm phần thi nói kiểm tra xếp loại đầu .,0,1
hỏi giảng viên nói đến lớp thấy ai .,0,0
"rút ngắn thời gian học môn học một học kỳ thành bảy tuần hai buổi tuần hay học hình thức "" cuốn chiếu "" môn học một học kỳ .",0,1
thầy đưa bài tập !,1,0
cho này giảng viên học hỏi tham khảo cách giảng dạy giảng viên khác dạy bộ môn mình .,0,0
"thầy dạy nhiệt tình , luôn cố gắng giảng thật chậm giảng thật kỹ cho chúng em hiểu bài .",2,0
mong giáo viên cải thiện cách dạy dễ hiểu hơn .,0,0
"giảng dạy nặng về nói , ít tập trung ngữ pháp , thi toàn ngữ pháp .",0,0
thầy giải thích kỹ hơn .,0,0
sửa bài kỹ .,2,0
"giảng dễ hiểu , nhiệt tình công tác giảng dạy .",2,0
em thích cách đề thầy .,2,0
thời gian lớp đúng giờ .,2,0
thầy dạy tích cực .,2,0
thầy nhiệt tình hướng học sinh đến con đường khoa học .,2,0
mọi bài thực hành sinh viên tự đọc hiểu mặt giảng viên lớp mang hình thức mặt .,0,1
"cô nhiệt tình hoạt động giảng dạy , công bằng đánh giá , quan tâm đến sinh viên .",2,2
thầy dạy khá chi tiết giải bài tập .,2,0
tiết dạy giảng viên thường chiếu slide đọc quá trình giảng dạy khá chán .,0,0
"dạy nhiệt tình , dễ tiếp thu .",2,0
cách truyền đạt cô làm em hiểu mặc dù cô giảng kỹ năng em cũng hiểu nổi cô nói .,0,0
thể đọc báo cáo đồ án hay tốt nghiệp anh chị khóa thể dễ dàng hình dung yêu cầu cô .,0,0
slide .,0,1
thêm trợ giảng giảm bớt áp lực cho giảng viên .,0,1
"demo đa dạng , side cập nhật kịp thời , giảng viên hỗ trợ nhanh chóng moodle .",2,0
trình bày slide bài giảng rõ ràng hơn .,0,3
tăng giờ thực hành nắm rõ chắc hơn nội dung bài học .,0,1
thầy dạy trực quan dễ hiểu .,2,0
thực hành dành hơn tám mươi phần trăm nói về lý thuyết đáp ứng yêu cầu sinh viên .,0,1
"nhiệt tình học sinh , luôn nghĩ cho học sinh , luôn đến sớm , giảng dạy hiệu quả .",2,0
"còn cô cho bài tập giải mẫu , khiến tụi em khó thể tự làm .",0,0
tài liệu cập nhật .,0,1
mong làm thầy hơn .,1,0
"mong thầy dạy bám thi hơn , sửa bài tập lớp hơn .",0,0
"mong thầy xen kẽ bài tập bài giảng lý thuyết , thế dễ hiểu bài hơn ạ .",0,0
"giảng viên nhiệt tình , tâm huyết .",2,0
"tận tình , cách dạy thực tế .",2,0
đôi nghỉ học thông báo .,0,0
hướng dẫn quá chi tiết .,2,0
"nhiệt tình , giúp sinh viên luyện nói .",2,0
cung cấp bài giảng đầy đủ .,2,0
đôi em nghĩ thầy cho deadline quá trời nhờ em học hơn thầy ạ .,0,0
"phần thực hành , chúng em hướng dẫn đủ .",0,1
mong nhà trường đồng nhất phần thực hành lý thuyết .,0,1
"thường xuyên hỏi về đời sống tình cảm bạn nữ , phù hợp tác phong một giáo viên .",0,0
giảng dạy rõ ràng còn hàn lâm .,0,0
"lớp đúng giờ , tận tâm sinh viên .",2,0
dạy khá nhanh .,0,0
học xong em thấy yêu thầy .,2,0
"lớp đúng giờ , truyền đạt kiến thức tốt , dễ hiểu , dễ vận dụng .",2,0
thầy dạy hay nhiệt huyết kiến thức về chuyên môn rộng .,2,0
phương pháp dạy thầy chưa hiệu quả .,0,0
nhiệt tình giải đáp thắc mắc .,0,0
"giảng viên nhiệt tình , sửa lỗi cho sinh viên .",2,0
sử dụng chức năng courses quản lý môn học cung cấp tài liệu đầy đủ cho sinh viên .,0,0
"cung cấp slide , tài liệu liên quan quá ít .",0,0
thầy giảng dạy kỹ .,2,0
đi đúng giờ .,2,0
thi cuối kỳ đủ thời gian làm bài !,0,1
"thầy vui tính , giảng dạy hay , cung cấp kiến thức quý báu .",2,0
nghỉ dạy bù .,0,0
đặt hiệu suất học tập hàng đầu chứ điểm số .,0,1
giảng viên trẻ tạo gần gũi sinh viên .,2,0
"giảng viên lớp đúng giờ , dạy nhiệt tình .",2,0
"giảng tận tình , giải đáp thắc mắc sinh viên .",2,0
"khái niệm "" thiết đi động "" môn học định nghĩa cách giảng dạy này .",0,1
"đôi truyền đạt hơi nhanh , gây lướt kiến thức .",0,0
dạy chưa thu hút .,0,0
giáo trình cập nhật hơn .,0,1
"gần gũi , tận tình .",2,0
tuy nhiên ước cô giải bài tập hơn ở cuối kỳ .,0,0
cung cấp tài liệu đầy đủ tận tụy .,2,0
"thầy hơi khó vấn đề hỏi bài , hay nói vui ( hoặc chửi ) học sinh ngủ colonsad .",0,0
thầy dễ thương .,2,0
đôi giảng bài hơi nhanh .,0,0
"thầy nhiệt tình , tuyệt nhất thầy dạy em đại học đến giờ .",2,0
"thế thời hạn nộp bài chính xác gây khó khăn nộp bài , cụ thể thời hạn nộp bài đôi ấn định , gia hạn thêm , công bằng người bỏ công sức cố gắng hoàn thành công đúng thời hạn ban đầu .",0,1
"giảng viên dạy sinh động , hiệu quả , đảm bảo giờ lớp .",2,0
thầy thường quên thời gian dạy thực hành báo cáo .,0,0
"dạy nhiệt tình , khách quan .",2,0
giải thích thêm về bài thực hành cho sinh viên chứ bây giờ thấy đưa cho sinh viên đề toàn tiếng anh giải thích .,0,0
"chép bài quá , sao .",1,3
giáo viên đến luôn đúng giờ dạy nhiệt tình .,2,0
quan tâm sinh viên hơn .,0,0
"phòng lab thực hành khá cũ , máy hư gây khó khăn cho sinh viên thực hành .",0,2
ý kiến cá nhân em bạn đồng quan điểm cách dạy thầy yếu điểm doubledot .,1,0
em đưa phần kiến thức thực hành giảng dạy giờ lý thuyết .,0,1
bổ sung thêm slide giáo trình tiếng việt .,0,1
"thường xuyên dạy một tiếng nhờ thầy nào vô quản lý , tụi em ngồi đến 10h mới về dạy chả hiểu !",0,0
"yêu cầu cụ thể cho thành viên nhóm đò án chấm điểm đồ án cá nhân , yêu cầu nhóm làm đồ án chia công đầu làm chung tất , dẫn đến thành viên đáp ứng tiêu chí chấm điểm đồ án .",0,1
giảng viên phát âm viết đúng chính tả hơn .,0,0
giảng viên cho sinh viên lượng bài tập quá lớn .,0,0
"về khâu chấm đồ án , mặc dù thầy nêu yêu cầu cấm sử dụng phương pháp , sinh viên sử dụng thầy đuổi nhóm xuống cho sinh viên tiếp tục trình bày hợp ý thầy .",0,1
oop khá phức tạp ví dụ .,0,1
phòng học thiếu loa .,0,2
"thầy wzjwz274 dạy cho hoàn thành dạy , quan tâm con người ngồi lớp thầy hiểu hay .",0,0
môn học đi thực tiễn sinh viên thể ứng dụng này .,0,1
bỏ thi code giấy .,0,1
thầy giảng thường cắt ngang mạch cảm hứng bằng câu liên quan đến bài học làm cho em thường cảm thấy buồn ngủ .,0,0
giảng viên tận tâm nhiệt tình .,2,0
em nghĩ phòng máy trường trang phần mềm sql tối thiểu phiên bản 2008 .,0,2
hệ thống bài tập moodle còn sai sót .,0,0
nghe hơn .,0,1
phát huy hết khả năng sinh viên .,0,1
"dạy nhanh , khó hiểu .",0,0
giảng viên thường lớp muộn .,0,0
nhiệt tình .,2,0
"thầy dạy nhiệt huyết , phương pháp dạy giúp sinh viên thể nhớ rõ kiến thức .",2,0
đề cương môn học chưa rõ ràng .,0,1
giảng viên lớp đầy đủ .,2,0
học kỳ này học phần em giáo viên này giảng dạy .,0,1
hơi khắt khe .,0,0
"não con người thích dễ dàng , xử lý dễ dàng não khó thể phát triển đến khả năng nó .",1,3
"cô nhiệt tình , tận tâm hướng dẫn .",2,0
"dễ gần , tạo tình cảm tốt .",2,0
giảng viên giải đáp thắc mắc sinh viên tận tình .,2,0
"giảng viên nhiệt tình , tâm huyết , giảng dạy dễ hiểu .",2,0
thoải mái nhiệt tình .,2,0
"giảng viên dạy quá chán , thực tế .",0,0
"thầy nhiệt tình , truyền đạt tốt .",2,0
cho bài tập sinh viên làm ở nhà .,0,0
bài giảng thầy hay hấp dẫn lắm .,2,0
"giảng viên tận tâm , nhiệt tình giúp đỡ sinh viên .",2,0
"thầy tâm huyết , giảng dạy nhiệt tình .",2,0
"cô dạy tốt , dễ hiểu .",2,0
nội dung nguyên cứu cực kỳ nặng đối một môn học .,0,1
thân thiện tận tình .,2,3
ít bài tập .,0,1
"cô tận tình học sinh , còn thiếu cách truyền đạt một chút .",0,0
cô dạy dễ hiểu tận tâm .,2,0
giảng dạy tận tình cho sinh viên .,2,0
hoạt động giảng dạy giáo viên khá tốt .,2,0
luôn giảng quyết thắc mắc sinh viên gửi mail hỏi .,2,0
"giảng viên dạy chán , bảng viết vài chữ nhỏ xấu ngồi hướng dẫn sinh viên thực hành .",0,0
"dở , em kiến nghị thay đổi thực hành môn này , thể trang thiết mới đổi sang cho sinh viên thực hành nhà phần mềm mô phỏng chứ trường điểm danh học kỳ .",0,1
riêng bản thân em nhận thấy mình thể học môn này tham gia học đầy đủ lớp .,1,3
cô nhiệt tình hoạt động giảng dạy .,2,0
học tập nhóm .,2,1
"thầy dạy hay , nhất buổi bài tập cuốn hút .",2,0
"buổi thực hành cuối , giảng viên đến trễ khoảng hơn hai mươi lăm phút .",0,0
thầy cho đề thi thực hành độ khó cao hơn một chút .,0,0
dễ tiếp thu kiến thức .,2,0
ghi bài quá .,0,1
phần thực hành hình thức hai hợp lý hơn .,0,1
"thời gian thầy giảng dạy ngắn , thường cho lớp về sớm .",0,0
giảng viên giảng bài chi tiết .,2,0
"giảng viên nhiệt tình , tận tâm sinh viên .",2,0
"tận tâm , nhiệt tình giúp đỡ sinh viên .",2,0
"thầy hay đi trễ , mười lăm phút ngày .",1,0
thầy hay nhăn nhó sinh viên .,0,0
mong khoa wzjwz101 lịch học lý thuyết thực hành cụ thể sinh viên đăng ký học phần tránh trường hợp trùng lịch dẫn đến sinh viên hủy một số môn dở chỉnh sửa lịch .,0,1
"kỳ học thầy , thầy nhiệt tình , chắc mới dạy chưa kinh nghiệm truyền tải kiến thức sinh viên hiểu dễ dàng .",2,0
giảm seminar tràn lan .,0,1
cô cho nói giảng viên nước ngoài !,2,0
cải thiện máy chiếu .,0,2
"thầy giảng bài kỹ , cho bài tập hay .",2,0
cô nhiệt tình giúp đỡ sinh viên .,2,0
giảng viên hướng dẫn thêm bài tập tận dụng thời gian hơn môn này bài tập mẫu sinh viên dễ nắm kiến thức hơn .,0,0
cảm ơn thầy .,1,0
đồ án mang tính thực tiễn .,2,0
"giảng viên nhiệt tình giảng dạy , bảo tận tình , chu đáo .",2,0
cô tận tâm nhiệt huyết .,2,0
"dạy tốt , khả năng truyền đạt tốt giúp sinh viên dễ tiếp thu , phương pháp giảng dạy hiệu quả , nhiệt tình .",2,1
"luôn luôn giúp đỡ sinh viên , giảng dạy một cách hiệu quả gây nhàm chán cho sinh viên , hỗ trợ sinh viên học tập tốt , quan tâm dạy cho sinh viên .",2,0
phương pháp truyền đạt kiến thức khó tiếp thu .,0,0
thầy giáo nhiệt tình .,2,0
nhiệt tình dạy sinh viên lớp trang moodle .,2,0
giáo viên đưa ví dụ sinh viên tự giải điểm cộng cho sinh viên đáp án đúng .,0,0
"thầy hiền , vui tính , giảng hay , cách dạy thầy bắt học sinh làm bài tập quan trọng .",2,0
"thầy khá tận tâm , vui tính .",2,0
"cho chép bài quá , triển khai slide bài giảng moodle .",0,0
làm nhóm hiệu quả .,2,0
truyền đạt tốt .,2,0
tất hoạt động .,1,3
"thầy dạy dễ hiểu , hay cung cấp thêm kiến thức bên ngoài hữu ích cho sinh viên .",2,0
"trình độ chuẩn tiếng anh giảng viên đại học thực còn thua một giáo viên cấp ba , phát âm sai khiến sinh viên sử dụng giao tiếp sai !",0,0
"truyền đạt dễ hiểu , ví dụ minh họa thực tế , tạo hứng thú tham gia môn học .",2,0
bình thường giáo viên .,1,3
giảng viên nói chậm quá nhanh sinh viên nghe kịp .,0,0
giảng viên bao giờ nghỉ buổi nào .,2,0
"thầy ít giảng bài , thường sinh viên tự xem tài liệu chủ yếu .",0,0
giải bài tập đầy đủ .,2,0
thầy nhiệt tình trả lời câu hỏi sinh viên đặt .,2,0
chương trình giảng dạy .,1,0
làm bài tập hơn .,0,0
"khía cạnh thầy giải thích khá trừu tượng , khó hiểu .",0,0
thường đi trễ .,0,0
giảng viên đảm bảo giờ lớp doubledot số buổi bù ít hơn số buổi nghỉ .,0,0
tận tình giảng chi tiết !,2,0
chấm quá gắt .,0,0
mong sao thầy dạy tận tâm công hơn chứ thế này em biết sinh viên năm nhất tiếp thế nào thầy tiếp tục mong thầy quan tâm đến dạy học hơn .,0,0
bài tập về nhà khá khó .,0,1
môn học một lượng bài tập lớn người học muốn hiểu vấn đề làm bài tập thế môn học thời gian làm bài tập phần thể ôn học tuần .,0,1
chất lượng môn học đầy đủ .,2,1
"thầy dạy hơi lan man , diễn đạt tốt ạ .",0,0
thầy giảng dễ hiểu dễ tiếp thu bài .,2,0
lớp wzjwz1 học ở phòng máy tốt hơn chút xíu ạ .,0,2
đề nghị bỏ phần thi lý thuyết cuối kỳ .,0,1
"thầy wzjwz182 dạy hay , dễ hiểu .",2,0
"thầy dạy nhiệt tình , hài lòng .",2,0
"cô dạy hay , tận tình học sinh .",2,0
liên hệ thực tiễn lấy ví dụ minh họa .,2,0
thêm tiết học thực hành .,0,1
chương trình giảng dạy tốt .,2,1
"viết bài quá , đưa bài dạy hệ thống moodle .",0,0
"thầy dạy tận tâm , giúp đỡ sinh viên hết sức .",2,0
nâng cao chất lượng phòng máy .,0,2
thầy hay tính toán sai lặt vặt làm khó dõi bài giải .,0,0
em nghĩ thầy giúp chúng em học tốt hơn thêm bài tập .,0,0
"chia nhóm , đồ án , bài tập nhóm nâng cao kiến thức cũng khả năng làm tập thể .",2,0
gần cuối kỳ giảng viên mới đưa đề tài làm đồ án gây khó khăn cho sinh viên .,0,0
"dễ hiểu , vui tính .",2,0
tận tình quan tâm học sinh .,2,0
em thấy thầy dạy đúng chương trình .,0,0
"giảng dạy nhiệt tình , dễ hiểu .",2,0
kiến thức giáo viên tốt !,2,1
giảng kỹ hơn cho sinh viên hiểu bài kết hợp ví dụ minh họa thực tế .,0,0
"thực hành đa dạng , giúp sinh viên hiểu rõ vấn đề .",2,1
"môn học chút thay đổi về kiểm tra , phần thực hành quan tâm hỗ trợ hoặc học học lý thuyết nền tảng cơ sở thầy cô hướng dẫn sinh viên tốt hơn .",0,1
giáo viên giảng dạy nhiệt tình .,2,0
"tận tình , vui tính colonlove .",2,0
học buổi sáng .,1,1
dạy hài lòng .,2,3
thầy nhiệt tình cố gắng truyền đạt hết mức thể .,2,0
cô dạy hay hơi nhanh .,1,0
"vui tính , gần gũi sinh viên , giảng khá hay .",2,0
"cô tâm , tạo kiện cho sinh viên tham khảo .",2,0
"giảng viên dạy nhiệt tình , tận tâm , đảm bảo nội dung dạy .",2,0
tài liệu cho môn học còn hạn chế .,0,1
mấy môn em học làm mấy bài lab xong cũng chả hiểu .,0,0
giảng viên tạo sinh động giờ giảng .,0,0
tài liệu hơn .,0,3
sử dụng slide tiếng anh khó diễn đạt sinh viên .,0,0
"thầy giảng dạy hướng dẫn nhiệt tình , tận tâm nội dung thầy giảng áp dụng cho học tập hiện còn cho tương lai công này .",2,0
"giảng viên thường dạy quá giờ ( khoảng ba mươi phút ) , ảnh hưởng đến tiết học tiếp sinh viên .",0,0
"nhiệt tình giúp sinh viên tìm phương pháp học tập đúng đắn , cho bài tập .",2,0
bạn kéo điểm nặng nề .,0,1
"hoặc đưa kỹ năng chuyên môn biết làm ngành ngành công nghệ thông tin rộng ví dụ làm về mảng web biết php , html , cs , js hay làm về hệ thống nhúng c .",0,1
giảng viên nhiệt tình .,2,0
em ý kiến về vấn đề này .,1,3
lịch học trùng .,0,1
thầy dạy tốt đảm bảo chất lượng .,2,0
em nghĩ môn này mở lớp thực hành hướng dẫn cài đặt thuật toán .,0,1
chúc thầy sức khỏe .,2,0
thầy hướng dẫn tụi em tận tình .,2,0
"giảng viên cung cấp slide , module phục vụ học tập chu đáo .",2,0
sinh viên bắt kịp tốc độ phát triển ngành .,0,1
"vui vẻ , trách nhiệm .",2,0
"đi dạy đúng giờ , chất lượng giảng dạy tốt .",2,0
thầy thường xuyên liên hệ thực tiễn .,2,0
slide đẹp .,2,1
"cho phép sửa điểm thông báo giờ cụ thể nói "" buổi tối "" .",0,0
ít dạy ngữ pháp .,0,0
dạy tận tình .,2,0
"thầy wzjwz137 dạy hay , chi tiết , nhiệt tình dễ hiểu .",2,0
sử dụng kiến thức tính thực tiễn cao hơn kiến thức thể áp dụng thực tiễn .,0,1
"giảng viên dạy nhiệt tình tâm , đến lớp đầy đủ cung cấp đầy đủ tài liệu tham khảo cho sinh viên .",2,0
đôi hơi buồn ngủ .,0,0
"quá ô nhiễm tiếng ồn , mệt mỏi chán học !",0,2
tài liệu giảng viên cung cấp đầy đủ .,2,1
thầy wzjwz269 dạy em kiến thức chuyên môn còn tầm nhìn bên ngoài xã hội .,2,0
"lâu lâu thầy giảng cao siêu quá , tụi em chả hiểu .",0,0
"giáo viên luôn tạo kiện cho sinh viên luyện nói tiếng anh lớp , giải thích về bài học , ngữ pháp , mới đầu giờ .",2,0
"dạy dễ hiểu , tận tâm , nhiệt tình .",2,0
nội dung học quá ít .,0,1
thầy dạy tận tâm hết mình .,2,0
"slide hình thực hiện bằng google translate , đọc thể hiểu viết .",0,1
"cô giảng dạy tận tình , nhiệt huyết .",2,0
"thầy wzjwz27 giảng bài rõ ràng hơn , giảng nói to hoặc dùng micro mọi người lớp nghe cũng chú ý đến bài giảng .",0,0
"giáo viên dạy hết sức nhiệt tình , tạo động lực học sinh học tập .",2,0
hơi nhanh .,0,0
"lần nộp bài tập sửa bài cung cấp bài giải đúng , chuẩn xác cải thiện học sinh viên .",2,1
giảng viên nhấn mạnh bài học .,0,0
đủ học dài dòng .,2,1
ngoài còn mặt tốt thể kể hết .,2,3
thái độ giảng viên hoàn toàn chấp nhận .,0,0
cô viết hướng dẫn còn sơ sài quá .,0,0
nhiệt tình giảng viên .,2,0
cô hỗ trợ sinh viên khá .,2,1
thầy cho nghỉ báo .,0,0
"đề mở , giảng viên nhiệt tình .",2,0
tận tình giảng dạy tận tình .,2,0
"cách giảng dạy hay , hấp dẫn dễ hiểu .",2,0
cô nhiệt tình tâm huyết dạy học .,2,0
giảng viên phối hợp ăn ý giảng viên lý thuyết hơn .,0,0
"gửi thêm kiến thức , tài liệu , bài tập hơn hệ thống môn học .",0,0
"tận tâm , nhiệt tình , sử dụng giờ hiệu quả .",2,0
"giáo trình tiếng anh thầy chỗ khó hiểu , khó tiếp thu .",0,0
thầy cô dạy tốt .,2,0
một số môn giảng viên hiếm thấy dạy nghỉ .,0,0
cô dạy môn wzjwz121 học kỳ này cô wzjwz122 dạy hay .,0,0
tăng thời lượng thực hành môn thực hành mang tính quan trọng đối sinh viên .,0,1
"dạy nhiệt tình , mở rộng kiến thức cho sinh viên , làm bài tập .",2,0
"giáo viên ngoài dạý kiến thức chuyên ngành , còn chia sẻ kinh nghiệm thực tế giảng viên bổ ích .",2,0
giáo viên dễ hiểu .,2,0
"thân thiện , cởi mở nhiệt tình .",2,3
ưu tiên về cơ sở vật chất cho chất lượng cao đúng trường nói .,0,2
cách chấm bài thi tự luận thầy khác máy chấm .,0,0
hoạt động nhóm cô hiệu quả .,2,0
hướng dẫn cụ thể .,2,0
"giảng viên nhiệt tình , dễ hiểu .",2,0
tuy nhiên còn một vài chỗ hơi khó tiếp thu .,0,1
"thầy thân thiện , lắng nghe sinh viên .",2,0
"giảng viên thay đổi hình thức dạy , hiểu sinh viên hơn .",0,0
"thứ nhất , phần thực hành phần đồ án doubledot thường phần cài đặt một chương trình máy dựa phần lý thuyết học thường công bố khá trễ , thường khoảng một tháng cuối học kỳ , thi lý thuyết cuối kỳ xong .",0,1
"cũng lần , sinh viên nghỉ học môn học thứ bảy đi học môn này giảng viên tự ý nghỉ thông báo .",0,0
"tận tâm , vui tính .",2,0
"thực giảng viên này dạy lớp em , đánh giá em chọn mặc định mức độ ba .",1,3
"cô dễ thương gần gũi học sinh , truyền đạt kiến thức tốt , dạy dễ tiếp thu .",2,0
thầy cung cấp tài liệu đầy đủ .,2,0
"đảm bảo giờ học , tiết học , nội dung .",2,1
"cô dạy hay dễ hiểu , đặc biệt nhiệt tình giảng dạy quan tâm tới sinh viên .",2,0
thêm bài tập về ngữ pháp .,0,1
tự bỏ công sức chuẩn hoạt động lớp cũng tự mình chi cho hoạt động nhằm nâng cao khả năng học tiếng anh sinh viên đặc biệt sinh viên nhóm extensive reading cô .,2,0
"tiết học , cô đều sử dụng tiếng anh giao tiếp hướng sinh viên tham gia câu lạc bộ .",2,0
"giảng viên thoải mái , tạo cảm giác gò bó học tập .",2,0
"giảng viên nhiệt tình , truyền đạt kiến thức thực tế .",2,0
ví dụ đều liên hệ đến bài tập .,2,1
sắp xếp thời gian học trùng môn học khác .,0,1
tận tình dễ hiểu .,2,0
"giảng viên phong cách dạy học truyền đạt , tạo đam mê sinh viên tự tìm hiểu sâu về môn học .",2,0
môn học thêm một số kiến thức hoặc cách khác giải quyết bài toán khó .,0,1
thầy nói nhanh quá nghe kiệp .,0,0
"giáo viên dạy tận tâm , nhiệt tình , dễ hiểu .",2,0
dở môn học tính điểm thực hành cũng nộp bài tập ý kiến chủ quan riêng em thực hành hình thứ một dường chưa thật hợp lý .,0,1
tương tác học sinh .,1,0
thầy hướng dẫn cho sinh viên tốt .,2,0
thầy wzjwz277 vui tính .,2,0
"giảng viên nhiệt tình , giảng dạy tốt .",2,0
một số buổi dạy giảng viên hiệu quả về giờ giấc .,0,0
giảng viên đảm bảo thời gian lớp khối lượng kiến thức buổi học .,2,0
"chia nhỏ bài tập về nhà cộng điểm cho sinh viên , giúp sinh viên làm hiểu nhuần nhuyễn tránh tình trạng rớt đồng loạt .",0,1
cho bài tập kiểm tra bài tập ở tuần dạy tiếp .,2,1
giảng viên xem cách cho bài tập về nhà .,0,0
"nhiệt tình , tận tâm , giảng dễ hiểu , nghiêm túc , đúng giờ .",2,0
"cải thiện cơ sở vật chất thiết dạy học , phòng máy chiếu mờ khó dõi .",0,2
"giảng viên đánh giá đúng , công bằng kết quả học tập .",2,0
sữa lỗi cho sinh viên .,2,0
em thấy bỏ môn học này .,0,1
"thầy soạn slile gửi cho sinh viên sinh viên thể ở nhà đọc bài , lớp thể dễ hiểu hơn , kết hợp chiếu slile viết bảng đỡ tốn thời gian hiệu quả học tập cao hơn .",0,0
thầy dạy đến lớp .,0,0
"thực hành hơn lý thuyết , đảm bảo chất lượng sinh viên tốt .",0,1
cô chủ đọng nhắc nhở bạn học tập ai thắc mắc cô giải đáp hết .,2,0
chỗ thầy nghĩ tụi em biết hỏi thầy thầy hơi cau mày .,0,1
"giảng viên nhiệt tình , tận tâm sinh viên vui tính .",2,0
giảng dạy quá nhanh .,0,0
bài tập hay .,2,0
giáo viên dạy nhiệt tình tâm huyết .,2,0
thầy hay vắng .,0,0
thầy dạy thực hành một cách kỹ lưỡng hơn cho sinh viên hiểu thực hiện .,0,0
giảng viên tận tâm truyền đạt nội dung môn học .,2,0
giáo viên năng nổ nhiệt tình dễ thương cho làm bài tập vận dụng hay .,2,0
"thầy thường xuyên truyền đạt kỹ năng thiết thiết thực , xây dựng chủ động học tập sinh viên .",2,0
nhiệt tình trả lời câu hỏi sinh viên phát biểu .,2,0
"thầy giảng dễ hiểu , tận tâm học sinh .",2,0
"thầy đi dạy đúng giờ , toàn bắt sinh viên chờ ba mươi phút đến một tiếng .",0,0
"thầy vui tính dạy nhiệt tình , quan tâm tới sinh viên đặc biệt sinh viên nữ .",2,0
thầy tuyệt thầy dạy dễ hiểu .,2,0
thấy dạy tốt .,2,0
dù biết giảng viên muốn tốt cho tụi em giảng viên tự đổi giờ lớp thế em đồng tình lắm ạ .,0,0
giáo trình phù hợp sinh viên .,0,1
"cô thân thiện , trẻ trung .",2,0
thầy hài hước vui vẻ .,2,0
"cô dạy nhanh quá , khó hiểu dẫn đến chán nản .",2,0
tăng thời gian lớp .,0,1
